INFO:tensorflow:Using MirroredStrategy with devices ('/job:localhost/replica:0/task:0/device:GPU:0',)
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
Start Simple Baseline training...
Start epoch 1 with learning rate 0.0003
/opt/conda/lib/python3.9/site-packages/tensorflow/python/data/ops/dataset_ops.py:374: UserWarning: To make it possible to preserve tf.data options across serialization boundaries, their implementation has moved to be part of the TensorFlow graph. As a consequence, the options value is in general no longer known at graph construction time. Invoking this method in graph mode retains the legacy behavior of the original implementation, but note that the returned value might not reflect the actual value of the options.
  warnings.warn("To make it possible to preserve tf.data options across "
Start distributed traininng...
Trained batch 1 batch loss 2.60709143 epoch total loss 2.60709143
Trained batch 2 batch loss 2.3636384 epoch total loss 2.48536491
Trained batch 3 batch loss 2.25322723 epoch total loss 2.40798569
Trained batch 4 batch loss 2.14659786 epoch total loss 2.34263873
Trained batch 5 batch loss 2.05998516 epoch total loss 2.28610802
Trained batch 6 batch loss 2.07190681 epoch total loss 2.25040793
Trained batch 7 batch loss 1.95897818 epoch total loss 2.20877504
Trained batch 8 batch loss 2.06533909 epoch total loss 2.19084549
Trained batch 9 batch loss 1.9038173 epoch total loss 2.15895367
Trained batch 10 batch loss 2.02266026 epoch total loss 2.14532423
Trained batch 11 batch loss 2.04864979 epoch total loss 2.13653564
Trained batch 12 batch loss 1.94831634 epoch total loss 2.1208508
Trained batch 13 batch loss 1.81419253 epoch total loss 2.09726167
Trained batch 14 batch loss 1.86013269 epoch total loss 2.0803237
Trained batch 15 batch loss 1.89640343 epoch total loss 2.06806254
Trained batch 16 batch loss 1.73200989 epoch total loss 2.04705906
Trained batch 17 batch loss 1.61538625 epoch total loss 2.02166653
Trained batch 18 batch loss 1.69101596 epoch total loss 2.00329709
Trained batch 19 batch loss 1.82761407 epoch total loss 1.99405062
Trained batch 20 batch loss 1.83056307 epoch total loss 1.98587632
Trained batch 21 batch loss 1.67218757 epoch total loss 1.97093868
Trained batch 22 batch loss 1.64158273 epoch total loss 1.95596802
Trained batch 23 batch loss 1.63588142 epoch total loss 1.94205105
Trained batch 24 batch loss 1.8045969 epoch total loss 1.93632376
Trained batch 25 batch loss 1.76260126 epoch total loss 1.92937481
Trained batch 26 batch loss 1.63691831 epoch total loss 1.91812646
Trained batch 27 batch loss 1.80701423 epoch total loss 1.91401124
Trained batch 28 batch loss 1.75617576 epoch total loss 1.90837419
Trained batch 29 batch loss 1.72180533 epoch total loss 1.90194082
Trained batch 30 batch loss 1.78543472 epoch total loss 1.89805734
Trained batch 31 batch loss 1.72699404 epoch total loss 1.89253914
Trained batch 32 batch loss 1.75402355 epoch total loss 1.88821054
Trained batch 33 batch loss 1.73395801 epoch total loss 1.88353622
Trained batch 34 batch loss 1.74834585 epoch total loss 1.87956
Trained batch 35 batch loss 1.60411608 epoch total loss 1.87169015
Trained batch 36 batch loss 1.60650408 epoch total loss 1.86432397
Trained batch 37 batch loss 1.74339914 epoch total loss 1.86105573
Trained batch 38 batch loss 1.71658647 epoch total loss 1.85725379
Trained batch 39 batch loss 1.66618013 epoch total loss 1.85235465
Trained batch 40 batch loss 1.67265117 epoch total loss 1.84786201
Trained batch 41 batch loss 1.67545748 epoch total loss 1.84365714
Trained batch 42 batch loss 1.72268641 epoch total loss 1.84077692
Trained batch 43 batch loss 1.68487573 epoch total loss 1.83715129
Trained batch 44 batch loss 1.70891643 epoch total loss 1.83423686
Trained batch 45 batch loss 1.69729495 epoch total loss 1.83119369
Trained batch 46 batch loss 1.61638808 epoch total loss 1.82652402
Trained batch 47 batch loss 1.69912767 epoch total loss 1.82381344
Trained batch 48 batch loss 1.64909482 epoch total loss 1.82017338
Trained batch 49 batch loss 1.55029035 epoch total loss 1.81466568
Trained batch 50 batch loss 1.74028349 epoch total loss 1.81317794
Trained batch 51 batch loss 1.64844704 epoch total loss 1.80994785
Trained batch 52 batch loss 1.57874203 epoch total loss 1.8055017
Trained batch 53 batch loss 1.74088573 epoch total loss 1.80428243
Trained batch 54 batch loss 1.76262712 epoch total loss 1.80351102
Trained batch 55 batch loss 1.63896859 epoch total loss 1.80051935
Trained batch 56 batch loss 1.70709181 epoch total loss 1.79885101
Trained batch 57 batch loss 1.61813009 epoch total loss 1.79568052
Trained batch 58 batch loss 1.64686716 epoch total loss 1.79311478
Trained batch 59 batch loss 1.65696573 epoch total loss 1.79080713
Trained batch 60 batch loss 1.6250782 epoch total loss 1.78804505
Trained batch 61 batch loss 1.55347919 epoch total loss 1.78419971
Trained batch 62 batch loss 1.67831874 epoch total loss 1.78249204
Trained batch 63 batch loss 1.57069314 epoch total loss 1.7791301
Trained batch 64 batch loss 1.64541018 epoch total loss 1.77704072
Trained batch 65 batch loss 1.68587494 epoch total loss 1.77563822
Trained batch 66 batch loss 1.38631105 epoch total loss 1.76973927
Trained batch 67 batch loss 1.4839716 epoch total loss 1.76547408
Trained batch 68 batch loss 1.61125124 epoch total loss 1.76320612
Trained batch 69 batch loss 1.66838241 epoch total loss 1.76183188
Trained batch 70 batch loss 1.5118022 epoch total loss 1.75826
Trained batch 71 batch loss 1.65864086 epoch total loss 1.75685692
Trained batch 72 batch loss 1.69271719 epoch total loss 1.75596607
Trained batch 73 batch loss 1.54651451 epoch total loss 1.75309694
Trained batch 74 batch loss 1.51862681 epoch total loss 1.74992847
Trained batch 75 batch loss 1.56445217 epoch total loss 1.74745548
Trained batch 76 batch loss 1.47793269 epoch total loss 1.74390912
Trained batch 77 batch loss 1.47862136 epoch total loss 1.74046385
Trained batch 78 batch loss 1.51139927 epoch total loss 1.73752713
Trained batch 79 batch loss 1.5407114 epoch total loss 1.73503578
Trained batch 80 batch loss 1.32020986 epoch total loss 1.72985041
Trained batch 81 batch loss 1.40646136 epoch total loss 1.72585797
Trained batch 82 batch loss 1.49517858 epoch total loss 1.72304475
Trained batch 83 batch loss 1.43815112 epoch total loss 1.71961236
Trained batch 84 batch loss 1.32324755 epoch total loss 1.7148937
