INFO:tensorflow:Using MirroredStrategy with devices ('/job:localhost/replica:0/task:0/device:GPU:0',)
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
INFO:tensorflow:Reduce to /job:localhost/replica:0/task:0/device:CPU:0 then broadcast to ('/job:localhost/replica:0/task:0/device:CPU:0',).
Start training...
Start epoch 1 with learning rate 0.0007
/opt/conda/lib/python3.9/site-packages/tensorflow/python/data/ops/dataset_ops.py:374: UserWarning: To make it possible to preserve tf.data options across serialization boundaries, their implementation has moved to be part of the TensorFlow graph. As a consequence, the options value is in general no longer known at graph construction time. Invoking this method in graph mode retains the legacy behavior of the original implementation, but note that the returned value might not reflect the actual value of the options.
  warnings.warn("To make it possible to preserve tf.data options across "
Start distributed traininng...
Trained batch 1 batch loss 2.43541765 epoch total loss 2.43541765
Trained batch 2 batch loss 2.2830596 epoch total loss 2.35923862
Trained batch 3 batch loss 2.4799881 epoch total loss 2.39948845
Trained batch 4 batch loss 2.30578494 epoch total loss 2.37606263
Trained batch 5 batch loss 2.23939395 epoch total loss 2.3487289
Trained batch 6 batch loss 2.13712311 epoch total loss 2.3134613
Trained batch 7 batch loss 2.15535641 epoch total loss 2.29087496
Trained batch 8 batch loss 2.24128461 epoch total loss 2.28467631
Trained batch 9 batch loss 2.05716467 epoch total loss 2.25939727
Trained batch 10 batch loss 2.07910633 epoch total loss 2.24136806
Trained batch 11 batch loss 2.18256426 epoch total loss 2.23602223
Trained batch 12 batch loss 1.85256743 epoch total loss 2.20406771
Trained batch 13 batch loss 2.01771688 epoch total loss 2.18973303
Trained batch 14 batch loss 2.18577361 epoch total loss 2.18945026
Trained batch 15 batch loss 2.08049393 epoch total loss 2.18218637
Trained batch 16 batch loss 2.1280961 epoch total loss 2.17880583
Trained batch 17 batch loss 2.06767058 epoch total loss 2.17226839
Trained batch 18 batch loss 1.92508507 epoch total loss 2.15853596
Trained batch 19 batch loss 1.94622767 epoch total loss 2.14736176
Trained batch 20 batch loss 1.91183496 epoch total loss 2.13558531
Trained batch 21 batch loss 1.83822536 epoch total loss 2.12142539
Trained batch 22 batch loss 1.80177617 epoch total loss 2.10689592
Trained batch 23 batch loss 1.84717774 epoch total loss 2.09560394
Trained batch 24 batch loss 1.95136476 epoch total loss 2.08959413
Trained batch 25 batch loss 1.82028484 epoch total loss 2.07882166
Trained batch 26 batch loss 1.92741418 epoch total loss 2.07299829
Trained batch 27 batch loss 1.92378306 epoch total loss 2.06747174
Trained batch 28 batch loss 1.98815095 epoch total loss 2.06463885
Trained batch 29 batch loss 1.84495437 epoch total loss 2.05706358
Trained batch 30 batch loss 1.84119558 epoch total loss 2.04986811
Trained batch 31 batch loss 1.82513118 epoch total loss 2.04261851
Trained batch 32 batch loss 1.88032818 epoch total loss 2.03754687
Trained batch 33 batch loss 1.82048821 epoch total loss 2.03096938
Trained batch 34 batch loss 1.81882966 epoch total loss 2.02473
Trained batch 35 batch loss 1.8158592 epoch total loss 2.01876211
Trained batch 36 batch loss 1.85931337 epoch total loss 2.01433301
Trained batch 37 batch loss 1.87811267 epoch total loss 2.01065135
Trained batch 38 batch loss 1.91651928 epoch total loss 2.00817418
Trained batch 39 batch loss 1.8296138 epoch total loss 2.00359583
Trained batch 40 batch loss 1.83327901 epoch total loss 1.99933791
Trained batch 41 batch loss 1.80864894 epoch total loss 1.99468696
Trained batch 42 batch loss 1.86742759 epoch total loss 1.9916569
Trained batch 43 batch loss 1.77361929 epoch total loss 1.98658633
Trained batch 44 batch loss 1.85728788 epoch total loss 1.98364758
